Bid Number,School,Debater 1,Debater 2,Year
12,Wayne State,Toby Arquette,Derek Gaffrey,1992
13,Baylor,Rod Phares,Bill Trapani,1992
14,Georgetown,Anup Malani,Tim McCrae,1992
15,Northwestern,Bridget Brocken,Russell Keller,1992
16,Wake Forest,Rich Fledderman,Mark Grant,1992
,,,,
1,Dartmouth,Ara Lovitt,Steven Sklaver,1993
2,Georgetown,Ahilan Arulanantham,Eric Truett,1993
3,Wayne State,Toby Arquette,Derek Gaffrey,1993
4,Texas,Ryan Goodman,Brian McBride,1993
5,Wake Forest,Rich Fledderman,Mark Grant,1993
6,Texas,David Breshears,Daniel Kern,1993
7,George Mason,Ryan Galloway,Gordon Stables,1993
8,West Georgia,Michael Hester,Nathan Holmes,1993
9,University of Michigan,Jennifer Ouding,Matthew Shors,1993
10,Georgetown,Anup Malani,Tim McCrae,1993
11,Kansas,Tim Howard,Josh Zive,1993
12,Wake Forest,Joseph Peery,Marcia Tiersky,1993
13,Harvard,Mike Gordin,Dan Nexon,1993
14,University of Kentucky,Jason Renzelmann,Paul Skiermont,1993
15,Iowa,Jeff Kueter,Ernest Wagner,1993
16,Harvard,Kami Hayashi,Rebecca Tushnet,1993
,,,,
1,University of Kentucky,Jason Patil,Paul Skiermont,1994
2,Harvard,Kami Hayashi,Rebecca Tushnet,1994
3,Emory,Charlie Henn,Jon Sharp,1994
4,Harvard,Stephen Andrews,Fred Karem,1994
5,Kansas,Ryan Boyd,Josh Zive,1994
6,Texas,Mark McPherson,Justin Shrader,1994
7,Northwestern,Sean McCaffity,Jody Terry,1994
8,Wayne State,Toby Arquette,Jennifer Kowalski,1994
9,George Mason,Ryan Galloway,Gordon Stables,1994
10,Iowa,Tiffany Earl,Monte Johnson,1994
11,University of Kentucky,Jason Renzelmann,Trevor Wells,1994
12,Redlands,Tim Barouch,Chris Lundberg,1994
13,Texas,Jonathan Brody,Eric Emerson,1994
14,Dartmouth,John O’Shea,Marc Wilson,1994
15,Wake Forest,Adrienne Brovero,Marcia Tiersky,1994
16,Northwestern,Sinan Aral,Mason Miller,1994
,,,,
1,Wake Forest,Adrienne Brovero,John Hughes,1995
2,University of Kentucky,Jay Finch,Paul Skiermont,1995
